ID       |B     |R_Sun|R_gc |[Fe/H]|sig_v|r_h |lg(th)
NGC 104  |-44.89|  4.5|  7.4| -0.72|11.0 |3.17| 9.55
NGC 288  |-89.38|  8.9| 12.0| -1.32| 2.9 |2.23| 9.32
NGC 362  |-46.25|  8.6|  9.4| -1.26| 6.4 |0.82| 8.93
Whiting 1|-60.76| 30.1| 34.5| -0.70|     |0.22| 7.93
NGC 1261 |-52.12| 16.3| 18.1| -1.27|     |0.68| 9.12
Pal 1    | 19.03| 11.1| 17.2| -0.65|     |0.46| 7.76
AM 1     |-48.47|123.3|124.6| -1.70|     |0.41| 9.61
Eridanus |-41.33| 90.1| 95.0| -1.43|     |0.46| 9.54
Pal 2    | -9.07| 27.2| 35.0| -1.42|     |0.50| 9.28
NGC 1851 |-35.03| 12.1| 16.6| -1.18|10.4 |0.51| 8.82
NGC 1904 |-29.35| 12.9| 18.8| -1.60| 5.3 |0.65| 8.95
NGC 2298 |-16.00| 10.8| 15.8| -1.92|     |0.98| 8.84
NGC 2419 | 25.24| 82.6| 89.9| -2.15| 4.0 |0.89|10.63
Ko 2     | 25.54| 34.7| 41.9|      |     |0.21| 7.70
Pyxis    |  7.00| 39.4| 41.4| -1.20|     |    |
NGC 2808 |-11.25|  9.6| 11.1| -1.14|13.4 |0.80| 9.15
E 3      |-19.02|  8.1|  9.1| -0.83|     |2.10| 8.80
Pal 3    | 41.86| 92.5| 95.7| -1.63|     |0.65| 9.88
NGC 3201 |  8.64|  4.9|  8.8| -1.59| 5.0 |3.10| 9.27
Pal 4    | 71.80|108.7|111.2| -1.41|     |0.51| 9.42
Ko 1     | 70.75| 48.3| 49.3|      |     |0.26| 8.62
NGC 4147 | 77.19| 19.3| 21.4| -1.80| 2.6 |0.48| 8.74
NGC 4372 | -9.88|  5.8|  7.1| -2.17|     |3.91| 9.59
Rup 106  | 11.67| 21.2| 18.5| -1.68|     |1.05| 9.34
NGC 4590 | 36.05| 10.3| 10.2| -2.23| 2.5 |1.51| 9.27
NGC 4833 | -8.02|  6.6|  7.0| -1.85|     |2.41| 9.42
NGC 5024 | 79.76| 17.9| 18.4| -2.10| 4.4 |1.31| 9.76
NGC 5053 | 78.95| 17.4| 17.8| -2.27| 1.4 |2.61| 9.87
NGC 5139 | 14.97|  5.2|  6.4| -1.53|16.8 |5.00|10.09
NGC 5272 | 78.71| 10.2| 12.0| -1.50| 5.5 |2.31| 9.79
NGC 5286 | 10.57| 11.7|  8.9| -1.69| 8.1 |0.73| 9.11
AM 4     | 33.51| 32.2| 27.8| -1.30|     |0.43| 8.32
NGC 5466 | 73.59| 16.0| 16.3| -1.98| 1.7 |2.30| 9.76
NGC 5634 | 49.26| 25.2| 21.2| -1.88|     |0.86| 9.54
NGC 5694 | 30.36| 35.0| 29.4| -1.98| 5.8 |0.40| 9.27
IC 4499  |-20.47| 18.8| 15.7| -1.53| 2.5 |1.71| 9.73
NGC 5824 | 22.07| 32.1| 25.9| -1.91|11.6 |0.45| 9.47
Pal 5    | 45.86| 23.2| 18.6| -1.41| 1.1 |2.73| 9.82
NGC 5897 | 30.29| 12.5|  7.4| -1.90|     |2.06| 9.57
NGC 5904 | 46.80|  7.5|  6.2| -1.29| 5.5 |1.77| 9.41
NGC 5927 |  4.86|  7.7|  4.6| -0.49|     |1.10| 8.94
NGC 5946 |  4.19| 10.6|  5.8| -1.29| 4.0 |0.89| 8.91
BH 176   |  4.34| 18.9| 12.9|  0.00|     |0.90| 8.79
NGC 5986 | 13.27| 10.4|  4.8| -1.59|     |0.98| 9.18
Lynga 7  | -2.80|  8.0|  4.3| -1.01|     |1.20| 8.83
Pal 14   | 42.19| 76.5| 71.6| -1.62| 0.4 |1.22|10.02
NGC 6093 | 19.46| 10.0|  3.8| -1.75|12.4 |0.61| 8.80
NGC 6121 | 15.97|  2.2|  5.9| -1.16| 4.0 |4.33| 8.93
