ID|STAR|PERIOD|V_INTMEAN|L|B
1.0|U Aql|7.023958|6.446|30.91|-11.62
2.0|SZ Aql|17.140849|8.599|35.60|-2.34
3.0|TT Aql|13.754707|7.141|36.00|-3.14
4.0|FF Aql|4.470916|5.372|49.20|6.36
5.0|FM Aql|6.114230|8.270|44.34|0.89
6.0|FN Aql|9.481603|8.382|38.54|-3.11
7.0|IU Aql|22.000000||34.73|-5.58
8.0|V336 Aql|7.303976|9.848|34.19|-2.14
9.0|V493 Aql|2.987751|11.083|32.99|-1.65
10.0|V496 Aql|6.807055|7.751|28.20|-7.13
11.0|V526 Aql|4.211200|12.708|41.35|-2.16
12.0|V600 Aql|7.238748|10.037|43.89|-2.63
13.0|V800 Aql|20.065000||43.14|3.79
14.0|V912 Aql|4.400340||33.30|1.08
15.0|V916 Aql|13.441550|10.785|46.19|1.64
16.0|V1162 Aql|5.376100|7.798|29.42|-18.60
17.0|V1183 Aql|3.288265||44.14|4.45
18.0|V1344 Aql|7.478030|7.767|39.15|-2.57
19.0|V1359 Aql|7.780000|9.059|38.27|-17.59
20.0|Eta Aql|7.176735|3.897|40.94|-13.07
21.0|V340 Ara|20.809000|10.164|335.19|-3.75
22.0|V475 Ara|1.501200||330.85|-11.22
23.0|Y Aur|3.859502|9.607|166.75|4.33
24.0|RT Aur|3.728190|5.446|183.15|8.92
25.0|RX Aur|11.623537|7.655|165.77|-1.28
26.0|SY Aur|10.144698|9.074|164.75|2.14
27.0|YZ Aur|18.193212|10.332|167.28|0.94
28.0|AN Aur|10.290560|10.455|164.88|-0.99
29.0|AO Aur|6.763006|10.860|177.61|1.99
30.0|AS Aur|3.175023||182.31|3.67
31.0|AX Aur|3.046640|12.412|177.86|1.61
32.0|BK Aur|8.002432|9.427|158.99|5.89
33.0|CO Aur|1.783010|7.706|176.08|5.93
34.0|CY Aur|13.847650|11.851|160.53|1.98
35.0|ER Aur|15.690730|11.520|165.47|1.73
36.0|EV Aur|4.872280||162.40|-0.98
37.0|EW Aur|2.659560|13.513|165.95|-3.98
38.0|FF Aur|2.120530|13.698|165.02|-2.19
39.0|GV Aur|5.259800|12.076|172.46|4.26
40.0|IN Aur|4.911100|13.814|169.49|-0.63
41.0|V335 Aur|3.413250|12.461|172.22|3.98
42.0|RW Cam|16.414812|8.691|144.85|3.80
43.0|RX Cam|7.912024|7.682|145.90|4.70
44.0|TV Cam|5.294970|11.659|145.02|6.15
45.0|AB Cam|5.787640|11.849|143.94|3.23
46.0|AC Cam|4.156769|12.597|141.26|2.03
47.0|AD Cam|11.260991|12.564|141.25|3.32
48.0|AM Cam|3.997197|13.504|140.85|5.30
49.0|RW CMa|5.729685|11.096|232.05|-3.82
50.0|RY CMa|4.678250|8.110|226.01|0.28
51.0|RZ CMa|4.254832|9.697|231.15|-1.10
52.0|SS CMa|12.361000|9.915|239.23|-4.20
53.0|TV CMa|4.670010|10.582|227.21|-2.37
54.0|TW CMa|6.995070|9.561|229.12|0.12
55.0|VV CMa|3.862700||227.56|-3.26
56.0|VZ CMa|3.126230|9.383|239.86|-4.44
57.0|AO CMa|5.815420|12.603|239.91|-4.92
58.0|BC CMa|4.175400|12.990|235.38|-3.46
59.0|CP CMa|4.845690|13.277|235.35|-5.07
60.0|DZ CMa|1.754340||229.43|-1.46
61.0|U Car|38.768100|6.288|289.06|0.04
