Month,SALES,t,D
Jan 1996,54,1,0
Feb 1996,68,2,0
Mar 1996,70,3,1
Apr 1996,70,4,1
May 1996,69,5,1
Jun 1996,65,6,1
Jul 1996,66,7,1
Aug 1996,73,8,1
Sep 1996,62,9,0
Oct 1996,56,10,0
Nov 1996,54,11,0
Dec 1996,51,12,0
Jan 1997,61,13,0
Feb 1997,69,14,0
Mar 1997,81,15,1
Apr 1997,70,16,1
May 1997,71,17,1
Jun 1997,71,18,1
Jul 1997,69,19,1
Aug 1997,72,20,1
Sep 1997,67,21,0
Oct 1997,62,22,0
Nov 1997,61,23,0
Dec 1997,51,24,0
Jan 1998,64,25,0
Feb 1998,75,26,0
Mar 1998,81,27,1
Apr 1998,82,28,1
May 1998,82,29,1
Jun 1998,83,30,1
Jul 1998,75,31,1
Aug 1998,75,32,1
Sep 1998,68,33,0
Oct 1998,69,34,0
Nov 1998,70,35,0
Dec 1998,61,36,0
Jan 1999,67,37,0
Feb 1999,76,38,0
Mar 1999,84,39,1
Apr 1999,86,40,1
May 1999,80,41,1
Jun 1999,82,42,1
Jul 1999,78,43,1
Aug 1999,78,44,1
Sep 1999,65,45,0
Oct 1999,67,46,0
Nov 1999,61,47,0
Dec 1999,57,48,0
