SALARY,SPEND,D1,D2
19583.00,3346.00,1,0
20263.00,3114.00,1,0
20325.00,3554.00,1,0
26800.00,4642.00,1,0
29470.00,4669.00,1,0
26610.00,4888.00,1,0
30678.00,5710.00,1,0
27170.00,5536.00,1,0
25853.00,4168.00,1,0
24500.00,3547.00,1,0
24274.00,3159.00,1,0
27170.00,3621.00,1,0
30168.00,3782.00,1,0
26525.00,4247.00,1,0
27360.00,3982.00,1,0
21690.00,3568.00,1,0
21974.00,3155.00,1,0
20816.00,3059.00,1,0
18095.00,2967.00,1,0
20939.00,3285.00,1,0
22644.00,3914.00,1,0
24624.00,4517.00,0,1
27186.00,4349.00,0,1
33990.00,5020.00,0,1
23382.00,3594.00,0,1
20627.00,2821.00,0,1
22795.00,3366.00,0,1
21570.00,2920.00,0,1
22080.00,2980.00,0,1
22250.00,3731.00,0,1
20940.00,2853.00,0,1
21800.00,2533.00,0,1
22934.00,2729.00,0,1
18443.00,2305.00,0,1
19538.00,2642.00,0,1
20460.00,3124.00,0,1
21419.00,2752.00,0,1
25160.00,3429.00,0,1
22482.00,3947.00,0,0
20969.00,2509.00,0,0
27224.00,5440.00,0,0
25892.00,4042.00,0,0
22644.00,3402.00,0,0
24640.00,2829.00,0,0
22341.00,2297.00,0,0
25610.00,2932.00,0,0
26015.00,3705.00,0,0
25788.00,4123.00,0,0
29132.00,3608.00,0,0
41480.00,8349.00,0,0
25845.00,3766.00,0,0
