,Age,Gender,Race/Ethnicity,Census Region,Income Group,Occupation,Work Status,Education,Marital Status,Vote
0,2,2,1,2,4,2,1,3,1,1
1,3,2,1,3,2,6,7,5,5,1
2,3,2,2,2,1,3,5,2,5,0
3,1,1,1,3,2,1,1,6,3,0
4,2,1,1,2,2,2,6,5,1,1
5,2,2,1,2,4,1,1,6,1,1
6,1,1,1,2,3,3,1,3,1,1
7,1,1,1,3,1,0,8,5,7,1
8,1,2,1,3,4,6,7,6,1,1
9,1,2,1,2,3,3,1,5,1,0
10,2,2,1,2,1,3,5,3,5,1
11,3,1,1,3,2,3,5,3,1,0
12,1,1,1,2,3,1,1,5,1,0
13,3,1,1,3,3,1,5,3,1,0
14,2,1,1,2,0,1,1,6,3,0
15,2,2,1,2,2,1,1,6,2,0
16,1,1,1,2,3,3,1,5,1,1
17,1,2,1,3,3,1,1,5,3,1
18,3,2,1,2,3,6,7,3,1,0
19,1,2,1,1,3,2,1,5,3,0
20,3,2,1,2,2,3,5,2,5,1
21,1,1,1,3,4,3,1,5,1,0
22,2,1,1,3,4,1,1,6,1,1
23,2,2,1,1,3,4,1,3,5,0
24,2,1,1,2,3,1,1,6,3,0
25,2,1,1,2,4,3,6,3,1,1
26,1,1,1,2,4,1,1,6,1,0
27,3,2,2,1,2,3,5,3,1,0
28,2,2,1,2,3,2,1,5,1,1
29,3,2,1,2,2,1,5,1,5,1
30,2,2,1,4,3,2,6,5,1,0
31,2,2,1,4,3,1,1,5,5,1
32,2,1,1,2,3,3,5,3,1,0
33,2,1,1,2,3,2,1,6,1,0
34,3,2,2,3,2,1,5,6,5,0
35,1,1,1,3,5,1,1,6,1,1
36,3,2,1,1,0,6,7,3,1,0
37,1,1,1,2,3,2,1,5,1,1
38,1,1,1,2,3,3,1,3,1,0
39,3,1,1,1,1,3,5,3,1,0
40,2,1,1,1,4,3,1,3,1,0
41,3,1,1,3,0,3,5,2,1,0
42,1,1,5,3,3,1,1,6,2,0
43,2,1,1,3,4,3,1,6,1,0
44,2,2,1,1,4,1,1,6,4,0
45,3,1,5,4,2,5,5,1,1,0
46,2,2,1,2,3,2,1,6,1,1
47,2,1,1,4,4,1,1,5,1,1
48,2,1,2,3,1,3,1,5,1,0
49,2,2,1,1,4,1,1,3,1,0
50,1,1,2,4,3,2,1,5,3,0
51,1,2,1,1,2,3,1,6,2,1
52,2,2,1,2,1,2,1,3,4,1
53,2,2,1,3,2,2,1,3,1,0
54,3,1,1,2,3,3,1,5,1,0
55,3,1,2,2,2,3,5,1,1,0
56,2,1,1,1,4,1,4,5,1,1
57,2,1,1,2,4,1,1,5,1,0
58,2,2,1,2,2,6,7,3,1,0
59,2,1,1,3,5,2,1,6,1,1
60,2,2,2,3,1,0,6,1,3,1
61,2,1,1,3,5,1,1,6,1,1
62,3,1,1,2,1,3,5,3,5,0
63,2,1,2,1,4,1,1,5,2,0
64,2,2,1,1,3,6,7,5,1,0
65,1,2,1,3,4,2,1,5,1,1
66,2,2,1,3,2,3,1,3,3,1
67,1,2,1,3,3,0,8,5,1,1
68,2,2,1,3,4,1,1,6,1,0
69,2,2,1,2,4,1,1,0,1,0
70,3,2,2,3,4,1,5,6,1,0
71,2,1,1,4,4,1,1,5,3,0
72,3,2,1,1,2,6,7,2,5,1
73,2,2,1,2,4,6,7,3,1,0
74,1,1,1,3,4,1,1,5,1,0
75,1,2,1,2,4,3,1,3,1,1
76,2,2,1,2,4,6,7,3,1,1
77,2,1,1,2,4,1,1,3,1,0
78,3,2,1,3,4,1,5,6,5,1
79,2,1,1,4,5,2,1,6,3,0
80,3,1,1,1,4,1,5,6,1,1
81,3,2,1,1,2,1,5,6,5,1
82,2,2,1,1,4,1,1,6,1,0
83,1,2,1,1,2,1,1,3,1,1
84,1,1,1,2,0,5,1,3,3,1
85,1,1,1,2,3,3,1,3,1,0
86,1,1,1,2,1,1,1,6,2,0
87,1,2,1,3,4,1,1,5,1,1
88,1,2,2,3,5,1,1,6,1,0
89,2,1,1,2,4,1,5,3,1,1
90,2,1,1,3,4,1,1,6,1,0
91,1,1,1,1,3,1,1,6,2,1
92,3,1,1,1,4,1,5,5,1,0
93,2,1,1,2,4,1,1,6,1,1
94,2,1,1,3,4,2,1,6,1,1
95,2,1,1,3,0,1,1,6,1,1
96,2,1,1,3,4,2,1,3,1,0
97,2,2,2,2,2,3,1,5,4,0
98,1,1,1,2,4,3,1,3,1,0
99,2,2,1,2,0,2,1,5,1,1
100,2,2,1,2,3,3,1,3,1,0
101,2,1,1,4,1,2,4,5,2,0
102,1,2,1,4,2,3,1,5,2,0
103,2,2,1,3,4,2,1,5,1,1
104,1,1,1,2,4,2,1,6,1,1
105,3,1,1,3,4,1,5,6,1,1
106,1,1,1,2,3,1,1,6,2,1
107,2,2,5,3,3,3,1,3,1,1
108,3,2,2,1,0,3,5,3,5,0
109,2,2,1,2,4,6,7,5,1,0
110,2,2,5,3,2,1,1,6,3,1
111,1,2,2,3,2,3,1,3,3,0
112,2,2,1,4,1,2,4,6,4,0
113,1,1,1,3,2,3,1,5,2,0
114,2,1,1,3,2,1,1,6,2,0
115,2,2,1,2,4,1,1,3,1,0
116,2,1,1,2,3,5,1,5,1,1
117,2,2,1,2,2,2,1,3,1,0
118,2,1,1,3,4,1,1,6,1,0
119,2,2,1,3,0,2,1,3,1,1
120,1,1,1,2,4,1,1,5,2,1
121,2,1,1,2,4,1,1,3,1,1
122,3,2,1,2,4,1,1,6,1,0
123,3,1,1,2,3,3,1,3,1,0
124,3,2,1,2,2,2,5,3,5,0
125,1,1,1,3,4,1,1,6,7,1
126,2,2,1,3,4,1,2,5,1,1
127,1,2,2,3,3,2,1,5,1,1
128,3,2,2,3,1,3,6,1,5,1
129,2,1,1,3,5,1,1,6,1,0
130,2,2,1,3,3,2,1,3,3,1
131,3,2,1,2,3,1,5,2,5,0
132,2,1,1,3,1,2,1,5,2,0
133,2,2,1,3,4,2,1,6,1,1
134,2,2,1,3,5,2,1,6,1,1
135,2,1,1,1,0,1,1,6,1,0
136,1,2,1,2,3,2,1,6,1,0
137,3,1,1,2,1,3,5,1,2,0
138,1,2,2,3,3,6,7,5,7,0
139,1,1,3,3,4,1,1,6,1,0
140,2,1,1,2,4,1,1,6,1,1
141,3,2,1,3,3,2,5,5,5,1
142,3,2,1,2,2,2,5,5,1,1
143,2,1,5,4,3,3,1,3,1,1
144,3,2,1,1,3,1,5,6,1,0
145,3,1,1,1,3,3,5,1,2,0
146,2,2,1,1,0,1,1,5,1,0
147,2,2,1,1,5,6,7,6,1,1
148,3,1,1,1,2,3,5,1,1,0
149,3,1,1,1,3,1,5,6,1,1
150,2,1,1,2,3,2,1,3,1,0
151,2,2,5,3,1,3,6,1,2,0
152,2,2,2,3,2,3,1,3,3,0
153,1,2,4,4,3,2,4,3,4,0
154,2,2,1,4,2,1,1,5,3,0
155,1,2,5,4,2,6,7,2,2,1
156,1,1,1,1,2,2,1,6,2,0
157,2,2,1,3,3,1,1,6,3,1
158,1,2,5,3,3,1,4,5,2,0
159,3,1,1,4,4,1,1,6,1,0
160,2,1,1,2,3,5,1,3,2,0
161,3,2,1,4,0,1,5,5,5,1
162,2,1,1,4,4,1,1,6,1,0
163,2,2,1,1,3,1,1,6,3,0
164,2,2,1,3,3,2,1,5,3,1
165,2,2,1,3,3,5,1,3,1,1
166,2,2,1,4,2,2,6,5,3,0
167,2,2,5,4,4,3,4,2,1,1
168,1,2,1,4,0,2,1,3,1,1
169,2,2,1,2,5,1,1,5,1,1
170,1,2,1,2,4,2,1,3,7,0
171,2,2,1,3,4,1,1,6,3,0
172,1,1,2,3,4,2,1,6,1,1
173,3,1,1,1,4,3,1,3,1,0
174,1,2,1,3,4,2,4,5,1,1
175,1,2,1,3,4,2,1,3,1,1
176,2,1,1,1,4,2,1,6,4,1
177,3,1,1,1,2,3,5,2,5,0
178,1,1,1,3,4,3,1,3,2,1
179,2,1,1,4,4,1,1,6,1,1
180,1,1,1,4,4,1,1,6,1,1
181,2,2,1,2,3,2,1,3,1,1
182,2,1,1,3,3,3,1,6,1,0
183,1,2,1,4,4,2,1,5,7,0
184,1,1,1,2,0,0,8,5,2,0
185,2,2,1,3,4,6,7,6,1,0
186,1,2,1,2,4,2,1,5,1,1
187,2,2,1,2,3,6,7,5,1,1
188,2,1,1,2,4,2,1,6,1,0
189,1,2,1,2,4,1,1,6,1,1
190,1,2,1,2,3,2,1,3,1,1
191,2,2,1,2,4,1,1,3,1,1
192,3,2,1,2,0,6,7,3,5,1
193,1,1,1,2,2,2,1,5,2,1
194,1,2,1,2,2,2,1,5,3,0
195,2,2,2,2,3,2,1,5,3,0
196,2,1,1,2,4,2,1,6,1,1
197,2,1,1,1,2,2,1,6,2,1
198,1,1,1,2,4,1,1,6,1,1
199,1,2,4,3,2,1,1,3,2,0
200,3,2,1,1,4,2,5,5,1,0
201,2,2,5,4,1,2,5,3,3,0
202,1,2,1,3,4,1,1,6,1,1
203,1,2,1,3,3,1,1,6,2,0
204,1,2,1,3,2,0,8,5,2,1
205,3,2,1,2,0,3,5,1,5,0
206,2,2,1,2,4,2,1,3,1,0
207,1,1,1,4,1,4,4,3,2,0
208,1,2,2,3,2,0,2,3,2,0
209,1,2,5,2,1,0,8,3,2,0
210,2,2,1,3,3,1,1,6,2,0
211,1,1,1,1,4,1,1,6,1,1
212,2,2,2,1,4,6,7,6,1,1
