Background - Semiconductor,Background - Semiconductor,Background - Semiconductor,Heating Up - Semiconductor,Heating Up - Semiconductor,Heating Up - Semiconductor,Cooling Down - Semiconductor,Cooling Down - Semiconductor,Cooling Down - Semiconductor,Background - Metal,Background - Metal,Background - Metal,Heating Up - Metal,Heating Up - Metal,Heating Up - Metal,Cooling Down - Metal,Cooling Down - Metal,Cooling Down - Metal
Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C),Time (s),Voltage (V),Temperature (°C)
0.000,1.702,29,0.000,1.651,34,0.000,0.327,168,0.000,6.074,39,0.000,6.078,39,0.000,9.995,294
10.000,1.673,28,10.000,1.652,34,10.000,0.317,169,10.000,6.073,39,10.000,6.080,39,10.000,9.995,298
20.000,1.665,26,20.000,1.650,34,20.000,0.308,270,20.000,6.074,39,20.000,6.078,40,20.000,9.995,301
30.000,1.663,27,30.000,1.650,34,30.000,0.303,233,30.000,6.074,39,30.000,6.087,41,30.000,9.995,304
40.000,1.664,27,40.000,1.650,34,40.000,0.297,278,40.000,6.074,39,40.000,6.093,42,40.000,9.995,307
50.000,1.664,26,50.000,1.648,35,50.000,0.291,257,50.000,6.075,39,50.000,6.105,43,50.000,9.995,309
60.000,1.661,26,60.000,1.643,36,60.000,0.287,294,60.000,6.080,39,60.000,6.121,44,60.000,9.995,311
70.000,1.661,26,70.000,1.637,37,70.000,0.283,189,70.000,6.075,39,70.000,6.142,46,70.000,9.995,313
80.000,1.663,26,80.000,1.633,38,80.000,0.280,231,80.000,6.075,39,80.000,6.164,48,80.000,9.995,314
90.000,1.665,26,90.000,1.625,40,90.000,0.278,158,90.000,6.074,39,90.000,6.193,50,90.000,9.995,315
100.000,1.664,26,100.000,1.615,41,100.000,0.275,185,100.000,6.077,39,100.000,6.228,52,100.000,9.995,316
110.000,1.664,26,110.000,1.606,43,110.000,0.273,213,110.000,6.072,39,110.000,6.261,55,110.000,9.995,316
